"","Sentiment","SentimentSC","Reviews","Label"
"38","Positive",2.75931215286255,"diversity our school is public and huge and thus diverse with all kinds of groups and courses about such groups religious lgbt socioeconomic outofstate students international students politically diverse students athletic smart students out of place i cannot think of any kind of person who wouldnt find his niche at ohio state wear osu gear sweat pants and sweat shirts jeans different types interact yes more than any other place ive seen youd see asians joining fraternities for blacks or hispanics youd see international students and utahans preach youd see muslims getting involved in interreligious groups tables in dining hall four sophomore male athletes enjoying fun talk with one or two girls 7 freshmen dorm residents trying to seem fun and college material to their peers two female junior students tired of work and school work venting out to each other three students debating serious matters like politics or science or their class material most students from ohio financial background lowermiddle class to middle class youll hear im a student im broke wherever you go on campus most students arent politically aware not active predominantly left but rightwingers dont let that discourage you i havent heard a student say how much theyd like to earn one day theres a lot more focus on how much am i serving instead","diversity"
"39","Positive",4.26093053817749,"ohio state is an incredibly diverse campus i dont believe anyone could feel out of place here there are so many resources clubs classes organizations etc that allow people to find something they relate to this also allows them to connect with people they have things in common with students come from all different backgrounds and parts of the world some students wear sweatpants and a jacket to class some wear suits some wear dresses and heels there are many kinds of people wardrobes and looks from my experiences people dont choose their friends based on just looks or money or background there are so many diverse groups of people that end up being friends past college it is very different for me than high school where there are the cliques of people ohio state was so refreshing to come to i met so many different kinds of people and became friends with people that came from all different places in the works different backgrounds and races it is an atmosphere not based on money or looks its is an overall accepting and diverse atmosphere which i believe is one of the best things about ohio state","diversity"
"40","Positive",4.26414728164673,"it is impossible to describe ohio state students in one short paragraph the students are extremely diverse with tons of different ethnicities sexual orientation socioeconomic status etc for this reason i find that most osu students are accepting of people other than themselves and open to other cultures and practices no student could ever feel out of place at ohio state because there are a 1000 groups to get involved with and there is surely something that you would share in common with others most students are laid back wearing casual clothes to class and simply being there to get the class over with on the weekends people hang out with their own groups of friends and do what they like to dosuch as getting dressed up and going dancing or just staying in to relax and watch a movie there are all types of people represented at osu","diversity"
"41","Positive",4.29536628723145,"my classmates at osu are diverse intelligent adventurous and independent which inspires me to mingle often with them","diversity"
"42","Positive",1.56250858306885,"it is hard to generalize one statement to so many students however i will say that those that i do know are intelligent and hardworking but definitely know how to go out and have a great time","community"
"43","Positive",2.38851070404053,"my classmates at ohio state university are very diverse in that some are very career focused while others are more focused on networking and searching for the ultimate college experience youre best bet is to go to college for the education and get involved in just a few activities to stay focused on why you are there","diversity"
"44","Positive",4.24028539657593,"most of my classmates are very hardworking and committed","community"
"45","Positive",4.17785501480103,"were all hard working and were all currently under the same stress level as far as being in a new place goes everyone on campus seems very accepting and kind there are so many opportunities to find your own niche","community"
"46","Positive",3.32042980194092,"ohio state is such a big school that you have the opportunity to meet so many new wonderful people","community"
"47","Positive",1.58064079284668,"most ohio state students are friendly and fun","community"
"48","Positive",4.17835474014282,"peers at ohio state share the exact same pride you would if you attened they are very friendly and are approachable i met a ton of people and formed awesome study groups classes are tough and these classmate can be of great assistance","courses"
"49","Positive",3.0154447555542,"i am transfer student from a smaller college next door to the ohio state but it was the interaction with the sudents and my future classmates there that encouaged me to attend and i feel honored to finally be apart of it","community"
"50","Positive",4.23537683486938,"this school is large spirited and outgoing","community"
"51","Positive",4.24818897247314,"ohio state is a very large school that can be overwhelming but with the right attitude you can find all the resources you need there","outcomes"
"52","Positive",4.15097999572754,"ohio state is a very big and beautiful campus and theres always something to do its a great school academically and athletically","community"
"53","Positive",4.26086616516113,"the ohio state university a very demanding school academic wise yet culturaly aware ohio state offeres you the best of both worlds you get to receive top of the line education while also having the ability to express the form of culture you represent and the football team is a plus there are cultural groups for practically everyone from the latino student associtation to the malaysian student association at least each continent has a group represenation at ohio state and if you dont seem to find a group that relates to your culture you can create one","outcomes"
"54","Positive",4.2845401763916,"all the variety of the world and education all in one place","diversity"
"55","Positive",3.69601964950562,"big campus with big school pride which matches its supreme academic values","community"
"56","Positive",4.26661443710327,"the largest campus in the nation  bringing with it the largest variety of opportunities activities and teaching staff","diversity"
"57","Positive",4.13879489898682,"my college is the most awesome place to be it has everything anyone would need","community"
"58","Positive",0.63480281829834,"the ohio state university has school spirit","community"
"59","Positive",4.20121002197266,"the nuttiest family in the nation","outcomes"
"60","Positive",3.31343388557434,"the ohio state university is a social mecca that allows individuals to fully express themselves while receiving a fantastic education","community"
"61","Positive",4.23177337646484,"the ohio state university is a diverse college that allows everyone to live up to their potential and offers every student a chance to find out who they are whether its through the bacon club the various youth groups the volunteer groups or the amazing football games every fall saturday","diversity"
"62","Positive",4.26029539108276,"at ohio state we are extremely passionate about everything we represent","community"
"63","Positive",4.31004333496094,"osu is so diverse there is something for everyone no matter what your interests are or what your major is","diversity"
"64","Positive",3.57149004936218,"the ohio state university is a large school that offers many opportunities as well as a community oriented environment that is warm welcoming and academically stimulating","community"
"65","Positive",2.19162058830261,"ohio state is about pride tradition hard work and respect","community"
"66","Positive",4.27536964416504,"my school is a multicultural melting pot that combines diversity and education into one big community","community"
"67","Positive",3.24614953994751,"high sprited environment of students on the path towards success","outcomes"
"68","Positive",3.22835636138916,"ohio state is a university for people who want access its humongous so one has access to nearly unlimited people resources and contacts","diversity"
"69","Positive",3.47419548034668,"the ohio state university is a spirited school that is focused on academics and making students become the best person they can be","community"
"70","Positive",3.48132967948914,"i truly believe the people at ohio state are some the proudest happiest intelligent and most highspirited people in the nation","community"
"71","Positive",2.01218700408936,"the ohio state university is the best damn university in the land a play off of the best damn band in the land","outcomes"
"72","Positive",4.18107080459595,"my school is the best damn school in the land","outcomes"
"73","Negative",2.81507325172424,"ohio state is a place for dreamers academics people who are unsure of what they want to do with their lives people of different ethnicities and absolutely anyone who has an unimpeded desire to learn about themselves and the world","community"
"74","Positive",0.953458666801453,"a city with in a city","community"
"75","Positive",4.21126174926758,"my school is a great place to learn and a ball of fun all rolled into one","community"
"76","Negative",2.7919192314148,"its out of a movie there are beautiful old buildings around the oval 14 acre green space 1960s70s science buildings not the prettiest and busy kids everywhere state of the art facilities for class hanging out exercising and everything else you can imagine the only thing that isnt out of a movie is the construction they are constantly rebuilding streets and buildings but as gordon gee the university president says if there is no construction where you are living get out because that place is going no where","community"
"77","Positive",4.25977516174316,"crazy amount of school spirit","diversity"
"78","Positive",4.01364994049072,"the ohio state university diverse university with high standards and a great staff","diversity"
"79","Positive",3.30717539787292,"best campus ever","community"
"80","Positive",2.15593838691711,"the ohio state university is a place of opportunity you can be whatever you want to be it is whatever you want it to be","diversity"
"81","Positive",0.979695737361908,"the ohio state university is a microcosm of the world beyond college with people from all different economic ethnic and racial backgrounds an array of opportunities in various fields and an expansive community which brings together people going in many different directions","community"
"82","Positive",2.67349672317505,"the ohio state university is an ambitious college students playground they offer everything and depending on what you need it can be as large or small as you want","diversity"
"83","Negative",0.475394994020462,"a large inclusive community that pushes students to excell strive for their best and realize their potential while instilling a strong sense of school pride","community"
"84","Positive",4.31169128417969,"ive never been anywhere in the world where ive felt like i can fit in perfectly be surrounded by so many intelligent and openminded people make lifelong friendships and learn so much all in the same place","community"
"85","Positive",3.20802974700928,"the ohio state university is an extremely large school with a beautiful campus and a thriving atmosphere that gives students the ability to either hide themselves in the mass of people or seize the available opportunities and stand out","community"
"86","Positive",4.29186534881592,"osu provides every kind of student with several opportunities to get involved and find what they are interested in","diversity"
"87","Positive",1.48940348625183,"theres someone for everyone at ohio state","diversity"
"88","Positive",4.21751880645752,"ohio state univeristy is one of the largest universities in the country yet with efforts can become a community atmosphere that encourages students to be open minded strive for success and turn dreams into realities","community"
"89","Positive",3.96079564094543,"large and spirited","community"
"90","Positive",4.29882097244263,"ohio state university is an incredible school with limitless oppurtunities and excellence in education with dedicated peers and faculty and a euphoric atomsphere","community"
"91","Positive",4.26712417602539,"the ohio sate university is an exciting college with many opportunities and is bursting with innovative young minds that learn from experienced professors and create a bright future for us all","professors"
"92","Positive",4.31118488311768,"my school is the most spirited enthusiastic optimistic and communityorientated university i have ever visited it is a place that fosters learning and the development of lifelong friendships","community"
"93","Positive",3.04183411598206,"in one word intimidating people come to visit ohio state and theyre in awe after a week and a half on campus it gets a lot smaller ive never had to walk more than 10 minutes between classes but when i first transferred here i thought id be riding the bus around the city getting to and from class and work in another few words a big party people come to football games here with energy and ready to party tailgate cheer at the games and make their saturdays count ohio state has a feel of superiority to someone whos never seen it because its the ohio state university and prestigious","outcomes"
"94","Positive",4.32172679901123,"i love osu the campus has so much to do and is convenient due to the campus area bus service provided the education here is amazing the professors are helpful there are so many different classes and majors to choose from there are tutoring buildings for classes such as math and chemistry and many different advisors to assist you in your career and education search the housing and meal plan is great here too","community"
"95","Negative",0.00959913805127144,"my school is obnoxious yet amazing","courses"
"96","Positive",0.824184060096741,"ohio state is a large university with lots of opportunities to get involved and to succeed in areas that you are interested in","community"
"97","Positive",3.2695746421814,"ohio state university is always very exciting whether its classes or extracurricular events","courses"
"98","Positive",4.25106859207153,"ohio state is a place filled with overflowing school spirit even though it is one of the biggest schools in the country the buckeye name unifies every student and member in the community you can not ask for anything more","community"
"99","Positive",1.53712582588196,"my school is very large in size and with its quanity of people","community"
"100","Positive",4.27160263061523,"we are undisputed national champs","outcomes"
"101","Positive",3.83408045768738,"i would definitely say the spirit and loyalty towards being a buckeye people live eat breathe and die ohio state and that is what i loved about it","community"
"102","Positive",2.89046144485474,"there is so much school spirit here that i wanted to be appart the community its hard not to make life long friends here they also offer a ton of majors which gives people lots of opportunity to find out what they want to do as a career","community"
"103","Positive",4.20555114746094,"very strong sense of community and breadth of resource available","community"
"104","Positive",4.30505752563477,"the size of ohio state nearly 40000 students on the main campus itself makes the school unique i believe what really sets it apart though is its ability to make the school seem so much smaller there are so many opportunities events clubs and activities the students also really add a special element to ohio state because they really help make the campus feel more like a community and truly embody the final line of the alma mater how firm thy friendship because people are so kind and our insane school pride brings everyone together","community"
"105","Positive",4.29267311096191,"the ohio state university is unequivocally unique in its ability to unite students of various backgrounds for the sake of gaining a wellrounded and personal educational experience although one of the largest universities in the nation i would always pass people i knew on the way to classes due to the large involvement of every student in academic and social extracurriculars most importantly the immense spirit present at my school wasnt there because of a strong football team but a shared sense that everyone was gaining a once in a lifetime experience in a lively and supportive community","community"
"106","Positive",4.28173732757568,"the size and diversity of ohio state university makes it very unique in itself i took a leap of faith and came knowing hardly anybody a factor only present at this school i was able to have an entirely open mind when it came to meeting new people and have made life long friends from all over the world that i wouldnt have gotten the opportunity to meet if it werent for ohio state attending this university was a huge step outside my comfort zone and i couldnt stress how glad i am that im here","diversity"
"107","Positive",0.946679830551147,"go to any other bigcity school and one will not find the comfort and spirit that is found at ohio state i applied to colleges in huge cities and i visited all of them yet nothing stood out to me besides the beautiful skyscrapers however when i visited osu i immediately fell in love with all the students yelling oh at the new student group tours also unlike other schools osu offers an alternative to city life there are lakes and fields on campus that help people be in tune with nature","community"
"108","Positive",3.10992813110352,"the students at ohio state really reached out to me when i came to visit and when i attended orientation i also recieved several calls to ask if i had any questions about the university i truly felt like they cared if i attended the university while the university is huge there are several clubs and programs available they have a club for basically everything and if they dont have the club you can make it my scholars program is like a family to me and i would not have stayed at osu without this program","community"
"109","Positive",4.25367069244385,"the agricultural college is one of the best around my area they have outstanding professors and graduate students to assist in your endevors","outcomes"
"110","Positive",4.27889108657837,"what makes ohio state so unique is the diversity of things that it has to offer to students the ohio state university not only has excellent academics but it also is situated within a city full of interesting and fun things to do it has over 1000 student organizations in which to participate it has over 50000 students on its main campus to get to know it has small class sizes to facilitate socialization and engagement within the classroom it has incredible sports programs and for ohio residents it costs only 20000 or so a year to attend","diversity"
"111","Positive",3.15390849113464,"ohio state was the largest school that i applied to yet i felt more welcomed there than any where else even though there are so many people in just the undergraduate class the school makes it easy for you to get involved and to find a place where you belong","community"
"112","Positive",2.64746046066284,"my three options of schools were ohio state university of cincinatti and ohio university after visiting osu i fell in love with the campus it was an amazing feeling thinking that i could potentially be a student there ohio state also stands high above the other two considerations academically my biggest deciding factor was the fact that the ohio state fisher college of business is one of the top business schools in the nations ohio state was by far more appealing to me than uc and ou","outcomes"
"113","Positive",4.2570276260376,"the first thing that really the number of programs they offer including the scholars programs of which i am involved in now the international affairs program at the ohio state university has accepted me and shown me programs in which im interested in declaring as my major international relations the foriegn language department is also really something to brag about i have always been interested in learning korean and this is the only university i found in ohio that does offer korean another thing was the diverse friendly environment on campus it feels really homely here","diversity"
"114","Negative",4.37342643737793,"the school spirit here is ridiculous","community"
"115","Positive",4.29606437683105,"being a buckeye is such a priviledge everyone is estatic about this place and we all truly love being here at ohio state there are unlimited opportunites for education whatever you want we have it the clubs and student organizations have something for everyone and are always welcoming to new members i have looked at so many schools and even chose to go to southeastern university in florida last year because i thought it was the right fit for me i was very wrong though because ohio state has everything i could ever ask for and more in a school","community"
"116","Positive",4.31080865859985,"osu is extremely diverse with students coming from all over the world there are many people to meet who are different then me and its interesting this school is also really large one of the largest in the nation being so spread out and with so many people who go here can make it seem a little intimidating the sense of community at osu is so different from other schools and makes me feel comfortable even being out of state i have been able to connect with osu andmake many friends from all different backgrounds and feel at home","diversity"
"117","Negative",3.49012923240662,"the large scale of the ohio state university is fairly uniqueit is one of the largest universities in the country consequently it does not excel in only one aspect as many other universities do no matter ones major he or she can be assured a topnotch education that will prepare them for a future career","community"
"118","Positive",1.22975873947144,"the thing i love about ohio state that i wouldnt have had at any of my other college choices is the sheer number of study abroad and internship opportunities along with so many events to attend i was surprised with the amount of emails i have received informing me about these opportunities it is as though ohio state places them in your lap this is largely due to the universitys large size and is something i wouldnt have gotten had i attended another university","outcomes"
"119","Positive",4.31301879882812,"school spirit is at a premium at ohio state on gamedays it is like nothing i have ever seen the unity the students display is out of this world when singing carmen ohio every student feels a strong attachment to one another and the values they represent by attending this university integrity knowledge and love is what we represent and we live and breathe it everyday stepping into the horseshoe on a football saturday will captivate any student or alumni from ohio state as they see everything theyve lived for inside one stadium","community"
"120","Positive",4.21826839447021,"awesome spirit and community good classes and teachers if you are determined and value your education people here can help you get there","community"
"121","Negative",2.59178137779236,"i dont really know how to answer this question osu is a really good school has a very good science program and medical facility ultimately i ended up going to osu because the va is paying for my education and kind of forced me to go to osu","finanical"
"122","Positive",4.32843017578125,"we are undoubtedly one of the biggest college campuses across america yet this has not hindered our ability to form close knit communities in all aspects of our college life by uniting under osu traditions school spirit and general love for our school we have been able to make a big school seem so much smaller this way we are able to feel like we belong and are appreciated yet we are also provided with every resource imaginable that osus broad ranging campus is able to provide","community"
"123","Positive",4.12143707275391,"ohio state is the largest college i applied to and i think its size is part of the reason i chose it i like having many options and opportunities and although it can be overwhelming i really enjoy how much ohio state has to offer it was easy for me to make ohio state seem smaller once i adapted to life there but theres no way i could have made other colleges i applied to seem bigger","diversity"
"124","Positive",0.848662853240967,"the only remotely unique thing about ohio state to me is that it is instate and i was able to get a discount in tuition i got into schools all over the country and i was not thrilled when i was told i had to stay in ohio i never had any desire to go here as i viewed it as failing to launch but now that i am here i really enjoy it i suppose that this school being closer to home has its many benefits since becoming an osu student ive realized the prestige here","finanical"
"125","Negative",1.25317013263702,"there is a manuscript study area","diversity"
"126","Positive",2.95790576934814,"there are so many choices in everything you do theres no shortage of clubs to join classes to take people to meet or places to go you get exposed to a lot of things some you didnt even know you would enjoy it opens your eyes to a lot of different experiences","diversity"
"127","Positive",2.813560962677,"ohio states huge size is its advantage students can do anything and everything they could possibly want to in college and they learn to do it independently and as an adult insetead of being coddled by advisers and teachers like students sometimes are in small schools","outcomes"
"128","Negative",2.29883337020874,"there is a sense of community that is hard to find anywhere else people everywhere know about ohio state but actually being a part of it and belonging there gives you a feeling that you have never felt before even though it seems like such a big school at first after just a few weeks it begins to feel small and that is when you can really appreciate what a tightknit school this really is","community"
"129","Positive",2.63221621513367,"even though the ohio state university is one of the largest schools in the nation there is a real sense of community and buckeye pride among the students and faculty there is nothing better than fall quarter weekends and football games go bucks the professors are for the most part accomodating if individuals have any type of dissablilty or pop up illness and there is a myriad of majors minors and classes to choose from","community"
"130","Positive",4.30556678771973,"osu is unique because even though it is a diverse school we help eachother and get along great in the agiculture department the teachers are willing to help you and make sure you do great","diversity"
"131","Positive",2.16330051422119,"osu has this unqiue school spirit that drew me to it after i went to a football game i could see the pride that it brought all the students together also osu was one of the few schools in ohio that had a lot of diversity and being an asian american in a middle white class i was not exposed to much diveristy","community"
"132","Positive",3.48608064651489,"the interplay between the professional schools and the undergraduate programs is what sold me on osu i plan to go to vet school and the fact that teachers are actively involved with both the vet students and undergrad students is immensely helpful","community"
"133","Negative",-0.0795559212565422,"ohio state has a lot of pride compared to other schools and are very ferverous about their sports im not really into the sports here although i do love sports also this school is always going out of its way to constantly improve its almost like you feel ok with them raising tuition every year because every year it gets better","community"
"134","Positive",4.32413196563721,"one unique aspect of the ohio state university is its size many see this as a bad thing but because this university is so large there are so many opportunities besides over 1000 clubs and organizations to join the academic opportunites are incredible the medical center is right on campus and research oppurtunites as well as travel and work are everywhere this campus is very diverse which has made it easier to discover who i am and who i want to be the ohio state university is giving me a great foundation for my future","diversity"
"135","Positive",4.20924425125122,"ohio state has every thing you could ask for in a school nice people great classes and helpful teachers another great thing is that ohio state has pretty much any major you can think of so you never feel left out","diversity"
"136","Positive",4.29723739624023,"ohio state is unique for many reasons one of the largest reasons is the school spirit held by the students alumni and surrounding community on the day of a sports event  most notably football games the atmousphere on campus is unlike any other people are buzzing with energy and school pride that i believe is not matched by any other college or university","community"
"137","Positive",2.0340883731842,"i have attended three other colleges in the past and know that the ohio state university is different than most at the ohio state university one is with over 52000 people this leads to so many different oppertunites there are nearly 1000 different groups and clubs to get involved with not many other schools have that many clubs with osu being such a large school there are many oppertunities for people who are outstanding in their feilds to get to come and speak the ohio state university allow for more opperunites than came be fully described","diversity"
"138","Positive",3.61156225204468,"the amount of opportunities to get involved whether its clubs internships workstudy research intramurals or other student organizations","community"
"139","Positive",4.32854461669922,"ohio state university is unique from other schools i considered for many different ways it is the second largest school with the number one football and basketball team the fan base is incredible its underrated for its academics i never thought of osu for academics but mostly for sports but the classes i am taking are the hardest i have ever taken it is an accepting atmosphere and anyone could fit in anywhere here i absolutely love it and would recommend it to anyone","community"
"140","Positive",4.32135534286499,"the atmosphere is the most unique out of anything its so large yet inviting you feel as though youre not just a number in a sea of 60000 students which is invaluable the academics are amazing while still having many on campus activities and opportunities to get involved i grew up in a family of buckeyes and couldnt imagine going anywhere else","community"
"141","Positive",3.08249425888062,"ohio state has great resources for all students such as tutoring a career center and many activites were you can meet new people the atmosphere is amazing there are manys students who love osu sports there is a strong sense of communinty and belonging","community"
"142","Positive",4.26134824752808,"to suceed at ohio state is simple use your resources the campus is huge and to some that can draw them away but the beauty of ohio state is its size this college has thousands of resources for students of all majors and of all levels of learning ohio state helps you with the baby steps to become overall successful also buckeye pride is like nothing else when you are a buckeye you join a family the best way to feel apart of this famliy is joing clubs and taking advantage of all the opportunites provided","community"
"143","Positive",4.26558876037598,"ohio state is unique because even though it is a huge school it is as small as you make it you can choose to get involved with a group such as a club or a sororityfraternity and create a tight knit group to stick with you can also join multiple groups and have many different groups of friends ive heard people say that ohio state is too big for them but really it is as big as you make it i think thats one reason why ohio state is so awesome","community"
"144","Positive",4.15118598937988,"we have a strong sense of community here and we are accepting of those who are different politically religiously and racially our school offers opprotunities for people to express their diversity freely and allows others the chance to learn about other people the school is located in a good spot with lots of buisness restaurants busses catering to us its size is big but by living in the dorm and joining various groups you make friends easily and it makes it seema lot smaller","community"
"145","Positive",4.23669624328613,"unlike other colleges ohio state is like a bustling town in which there are so many opportunities almost every week i receive an email about outreach research or other outlets to become involved another unique aspect about ohio state is that so many graduate schools are located on campus so it is easy to become involved within a particular career field","community"
"146","Positive",4.24314785003662,"it is huge this is great because you have opportunities to pursue thousands of various fields and meet an incredible variety of people it can be a pain though with large classes and long walks to class","diversity"
"147","Positive",4.20361232757568,"my school is ranked as number twentyfive by usnews on their list of top one hundred engineering schools in the united states it is also the second biggest school in the entire united states with many people attending this university there is a great opportunity to exprience the variety of attributes that each person has to offer this fact also provides opportunities to learn how to manage and maintain many different relationships","diversity"
"148","Positive",3.22524523735046,"it is very urban but the campus itself feels like a very traditional college campus downtown is 2 miles south with an amazing arts district bordering the south end of campus you can come to osu and be an osu studentengaged in clubs and such but you can also come and make your own life with all the things to do in the city of columbus outside of osu","community"
"149","Positive",2.99397754669189,"ohio states campus is the most unique aspect of the school you can go to any school where they have supreme academic standing but you will never come across a campus so large in size and diverse in cultures ohio state is a world of its own with the overly populated school ohio state university provides an environment where students can learn and grow and come across real life situations they never experienced back in their sheltered home life ohio states diverse population teaches us that were all different individuals","diversity"
"150","Positive",3.59967470169067,"does the job","outcomes"
"151","Negative",1.52551555633545,"it is a diploma mill","finanical"
"152","Positive",4.23066091537476,"i love it there is always something going on and despite the fact that it is a huge school it doesnt feel like it","community"
"153","Positive",4.19548606872559,"i love the ohio state university this school is unique in the fact that it is a mecca of opportunities learning business athletics social exploring professional","diversity"
"154","Positive",3.84029459953308,"i have enjoyed my time at osu so far though it is difficult for me to compare it to other colleges as i have not attended anywhere else the best aspect of ohio state is the fact that there are countless clubs groups and opportunities and that no matter who you are there are people like you here my biggest complaint about the university is that it is easy to get lost in the sea of students especially when you are in a required freshman survey class with 600 other people and the professor is passing around an attendance sheet","community"
"155","Positive",4.13140964508057,"osu is huge but much like columbus it feels like a huge small town the traditions if you choose to join in bring everyone together the size many people see as a negative but i think it makes us a top university college is all about getting a job and getting ready for the real world nothing will be handed you in the real world and nothing is handed to you here but if you look for opportunities they are there and the faculty and students are there to support you columbus also offers a lot of great opportunities like osu its a city on the rise and the connection between the city and the university is strong my only complaint is that occasionally because of its size there can be a little bit of bureaucracy when you are dealing with problems but thats how the real world is too so you better learn how to manage im struggling to not be too inflamed in my statements but i couldnt love my college anymore if you love community tradition are a gogetter and want to have fun ohio state is the place to be","community"
"156","Negative",0.230497151613235,"ohio state university moritz college of law is great i have many positive things to say and look forward to speaking to potential applicants about it","outcomes"
"157","Positive",4.29678726196289,"osu was awesome lots of school spirit and many great times with fun folks in enriching classes","community"
"158","Positive",3.28664612770081,"best thing its reputation and size one thing id change make concealed carry on campus allowed size too too big which is great peoples reaction admiration and respect appreciation of traditions most time spent in  the ohio union which is the living room of our campus schools administration too much red tape and bureaucracy recent controversy jim tressel being forced to quit school pride too much of it you hear it illustrated best when students say the ohio state university anything unusual its size and everything that comes with it from having uncountable student organizations to large scale bureaucracy experience to remember the laissezfaire syndicate best student organization ever helped build my personality and introduced me to the perfect man for me whos my boyfriend now frequent complaints usually about the financial services office and its long lines","community"
