"","V2"
"11","I adore Reed. It was just the right fit for me. The funny thing is, a number of people with whom I became incredibly close, decided that it wasn't the best thing for them, and have recently decided to take some time off and travel. All of them had their reasons, but their reasons never applied to me. Reed is a place that you should not stay at if you feel unhappy; it's too much money and you're missing out on a college experience you could enjoy. But from what I've seen, you don't just like Reed, you love it. There is no mid-ground. I think that  Reed was right for me because the Academic department I chose (English) is excellent, therefore the work excites me, and the social atmosphere is one of so much vitality. There are people everywhere just wanting to express themselves, to sit out on the front lawn naked if they want, smoking a hookah, or spend a night in a library pouring over textbooks. It's your choice, and you can have both, which I love."
"12","When I tell people that I'm a student at Reed College, the response is usually accompanied by a question mark. Many people have not heard of the college, most likely because of its size. Educators, on the other hand, usually respond with a smile and a nod. Like me, they know of the relentless hard work that goes into being a student at Reed. Sometimes they are surprised that I of all people would choose this college. You see, I'm not now nor have I ever been socially awkward. I love to learn, but not when I am tired, hungry, restless or hungover. I love sports, and Reed has few to offer me. The point of all of this is  that though Reed does attract a very distinct student body, we are not all the same in every respect. The one common thread, perhaps, is that we are all nerds at heart."
"13","Reed is a great place to explore and grow up some before entering the “real world”.  They don’t shelter you by any means, but you are exposed to all sorts of interesting people with diverse hobbies.  Once at a friend’s house I met a Reedie who grew up with his dad in a teepee.  This sort of experience isn’t that uncommon.  In addition, there are all sorts of student groups building and fixing bikes, brewing beer, fire dancing, “buildering” (aka climbing buildings as well as outdoor trips), planning a Cascadian revolution, you name it.  Students are incredible creative and frequently have the industriousness to get projects done.  These include establishing comic book libraries, building amazing art projects, or providing free condoms and sex ed classes to every dorm every year.  However, Reedies seem to focus on the campus and projects that will make the campus a better place.  Political activism or much interest in bettering the community outside of Reed isn’t seen as much.  However, the academics are great.   You’ll be exposed to all sorts of new ideas in your classes that frequently actually change your outlook on the world.  The one downside is that it’s tough to leave such a creative and interesting community after graduation."
"14","HOW DO PEOPLE REACT WHEN I SAY I GO TO REED?  Varying responses.  Some coo, ""Oh, you must be an intellectual"" which I laugh off (but of course, who doesn't like hearing that?) and some relentlessly tease about how I must toke up all the time -- in spite of my NEVER having even tried illegal drugs.  I will admit, then, that as someone straight-edge, I find this reputation irksome.  Some explain it as an interest in exploring that if your mind's perceptions are only really a dance of chemicals in your brain, then wouldn't it be interesting to see how its interpretation of environmental sensory input can be colored and morphed?  They see it as an exercise in 'feeling' your conscious experience.  As drugs are so taboo in our culture, I admit I don't know much about them, but I'm simply afraid of addiction or things being laced etc. in commodities that cannot be regulated.

INQUISITIVE, INTELLECTUALLY-CURIOUS, HARD-WORKING STUDENT BODY:  This is by far the school's best asset, or at least on the same level as its wonderful, crazy-intense academics.  Students at Reed are some of the most interesting, sincere, eclectic people I've ever met in my life, who go on to take exciting if even circuitous pathways in life, sometimes entirely unrelated to what they studied in college!  For example, an alum I know majored in biology but then went on to get an MBA from Cornell, and now he is the CEO of a banking firm.  Reedies are thoughtful and take their work seriously for its intrinsic value -- NOT to one-up a classmate to have the best grade to get into some highfalutin grad school to achieve outstanding eminence and acclaim.  While many DO achieve national awards of distinction, this is not what drives them to learn.  Rather, it is an appreciation of knowledge's inherent value that is the most unifying commonality among this student body."
"15","Reed is a small community and that gives us access to a lot of wonderful things and a lot of not so wonderful things.  We have very open, personal relationships with our professors, which is really wonderful and fast becoming a rarity across American Colleges.  The student body polices itself through the Honor Principle.  A very basic statement of the Golden Rule.  Violators of the Honor Principle may be taken to J-Board and the Honor Council, but for the most part, we take care of our own.  The small community means that you can literally know everyone.  This means that while at larger schools there is an endless amount of new people to meet and new groups to reinvent yourself in, here when you've burned a bridge you feel the loss for four years."
"16","Reed sits on 116 acres in SE Portland - a beautiful residential neighborhood with nearby boutiques, a Trader Joe's, coffee shops, movie and concert theaters, a rhododendron garden, bike trails, and waterfalls. The feeling is small-town, safe, friendly, and eco- and health-conscious. Downtown Portland is readily accessible in about 20 minutes by bus, or a little longer or a little shorter by bike. Within the Reed campus, 100s of species and ~1400 students coexist peacefully amongst the library (""Hauser Fun Dome""), Commons, the Chinese House, and Reed Canyon (which spans the campus from east to west and cradles woods and a small lake).

For me, the Reed Canyon is Reed's most endearing trait. In the spring, yellow touch-me-nots flood the floor of the canyon, curbed by only the eddying streams of criss-crossing water. Alders, huge-leafed maples, and demure oak trees stand quiet witness in the golden afternoon light. The large green stilted theater perches over the stream as you walk in its shadow and feel the coolness flowing from the cavern it creates over the water. This was my trail home to the Chinese House every afternoon in my sophomore year. 

I took a leave of absence from Reed after my sophomore year so that I could teach English in China and learn more about the country I was making such a large part of my life. What I left just in time to miss was a massive, although important, construction plan to develop ""my side"" of the Reed campus. The plan involves adding 4 more much-needed dormitories (on top of what used to be Reed's age-old community garden, the communal patch of which is where I fed myself on many a late evening), a new coffee shop, relocating the quaint and verdant Chinese House to join the other language houses, and building a suspension bridge right above the trail I took through the Canyon.

Alas for me, growth is an inherent and inevitable part of this type of society we call capitalist, and as with most human growth, little pieces of nature like ""my"" piece of the Reed Canyon tend to go by the wayside. In the Reed College administration's defense, however, the buildings are being built with ""the environment"" in mind. From the Reed magazine, ""the project’s 'green' features included landscaping that filters storm water runoff into a natural spring, and ventilation stacks built to resemble chimneys that will cool the buildings naturally, in addition to an array of environmentally sensitive materials such as flooring, window glass, and roof tiles."" And construction of the new foot-bridge ""is being planned to minimize environmental impact on the canyon below: its piers will sit on opposite edges of the canyon, and its curves will skirt most mature trees in its path."" The buildings will qualify for LEED (I think ""silver"") certification.

Hopefully those Reedies of future generations will find the Reed Canyon as pristine and magical a place as I did."
"17","Fuck me, where to begin?

Reed will drive you crazy. If it doesn't, you didn't do it right. It's small, it's intense, and it's lovely. It's a haven for displaced and disenchanted intellectuals and we like it that way. Portland is a funny town that prides itself on housing wackjobs. The most wackjobs in any given place anywhere in the world. We like it that way. 

The big picture is simply that... Reed is crazy. I can't emphasize that enough."
"18","Reed is only just becoming nationally renowned, naturally this is causing the academic quality of the institution to fall.  Indeed it seems that the president is no longer interested in the learning experience and is moving towards increasing capital.  That being said, Reed has some of the best teachers in the United States.  As a science major, it is very easy to go to class in the morning and ask the professor what he meant when he wrote in his text book.  There is an intimate student teacher relationship to be had with most professors.  The class sizes are obscenely small, there was one chemistry class that had four students total.
I would say that the college campus is very open and forgiving, but times are changing fast, and soon Reed will be no different than any other famous liberal arts college.  The bottom line is if you enjoy learning, truly, and not because you enjoy seeing A's on your report card, then Reed is the college for you.  If you come here expecting a 4.0 you will be very very disappointed. 
As for the most amazing experience at Reed, I could comment, but as I've alluded to in a not-so-subversive way, Reed is changing, and this experience may not be available to the incoming class.  Thus I say, come to Reed and see for yourself what it is like.  DO NOT GO TO REED FOR THE NAME.  You will hate your existence if you go to Reed just to say you went to Reed.  It works for easier schools like Harvard.  But remember, Reed students drop out to go there ;-)"
"19","Reed is a pretty small campus with a little more than a thousand students.  As a result, Reed is very communal and it's easy to know people.  It's a pretty laid back place where working and studying are important, but not to the point where people can't have fun.   The organizations on Reed aren't very proactive, so activists may want to reconsider coming here.  Most of the student body is very apathetic when it comes to activism and usually the activists on campus are part of larger organizations in the Portland area.  Reed has been accused of being very post-activism."
"20","Reed is amazing! It is a small community so you always feel at home. Professors know your name and are very available to talk- they really want you to do well and are passionate about the material. There is a heavy workload but it is manageable and if you love to explore new ideas this is the place for you. Reed is not for everyone but I think if you like it you love it."
"21","When people who don't go to Reed find out that I go to Reed they usually either get excited and say what a great place it is or assume that it's a bad liberal arts school that they've never heard of. I live off campus, so I spend most of my time on campus in classes or the library, although I come to campus on the weekends because there are usually lots of good events. A big recent controversy was the death of a freshman from heroine over-dose. The response of the community was really touching and re-affirming to me of what a great place this is. It brought up a lot of discussions about what Reed is and what our drug and alcohol policy means, if it is effective, etc. IThe school takes risks with the freedom it gives its students, but it allows for genuine and mutual respect between the kids and the administration. There is, obviously, a ton of school pride and a sense of love and understanding and similarity between everyone (students, faculty, staff, alum, administrators, etc.)."
"22","We're a really small school. There are some wacky things that go on. Portland is an awesome city!!! but a lot of students don't go off campus that much. Lots of students spend a significant portion of their time in the library. People are proud of Reed, often to the point of looking down on classes and students at other, less-academic schools. There's a lot that's unusual about Reed--you should be creative, wacky, smart, and stable enough to deal with the excessive culture of stress. I've learned an amazing amount here."
"23","Reed, eclectic, scholastic, scholarly, hidden away like an elf's fortress or some sort of secret. Home to the dedicated dedicated dedicated ones who will go without sleep four days in a row because they WANT to finish their work rather than because they will need to. Home to those who will lock themselves away for a week until they master a new puzzle, a new game. The ones who learn for fun, who delight in knowledge and share their knowledge and take you as you are and run with you as far and as hard as your willing to go. Home to those who know their shit like no one else I've ever met in my life. Interesting interesting people, mature, creative, powerful and open minded. Dedicated. Dedicated. Dedicated. Do I love Reed? Yes I love Reed."
"24","Portland is a great city to live in. It's kind of european-modeled utopian, where people ride their bikes, care about sustainability, experience an excellent performance art and music scene, and are herbivores. Nature abounds, close to the city limits, and people actually appreciate it! Sigh... it just so *nice* to live here. (Except for the disheartening rain and the lack of racial diversity)
Some Reedies never see Portland, in all of it's glory. Reed can be kind of a ""bubble"", in which students become encapsulated and lose touch with the outside world. I understand. Reed is a magical mystical land, unlike any other, where people ride around on flaming bikes, build really big monuments and forts in public places, grill hundreds of dollars worth of meat and give it away for free just to piss off vegans like me, make motorized couches, couches that double as bongs, embrace pyromania, chase and tackle people while naked and covered in blue paint, know nearly everyone's name because it's so freaking small, etc. There are a lot of resources and fun stuff to keep Reedies occupied, in all the free time they don't have, like the comic books library, pool hall, Gray fund trips (white water rafting, rock climbing, interesting-shit-you-never-needed-to-know-about-portland tours, and the like), I could go on but you could just go to the website. You could spot the legendary Doyle Owl and get into a knife fight over it! Kidding (though it seriously did happen). Reed is a very ...unique college experience, both due to the institution and its values and also because of the people who are attracted to it."
"25","Reed College is a land where the work never stops. It's go go go and then break and then go go go and then break.  The school is small but you definitely don't know or recognize everybody.  Classes are usually from 6-25 people (lecture-based classes like the sciences are more 25-100 people).  You get to know and love the profs, who you will be on a first name basis with.
Telling people you go to Reed can evoke a multitude of responses from ""Wow"" to ""Doesn't everyone do drugs there all the time?"" to ""Reed College?"".
Reed is the perfect school if you want to go into academia, and/or if you honestly like learning.
We're in Portland here, but we rarely leave campus.
Last biggest scandal was a recent heroin overdose - but that shit is really fucking rare, everyone has been in shock and there has been a lot of school arranged support groups and such.
You get an education at Reed like you get no where else, and that inspires a definite cockiness and school pride bit in the students.  We visit other campuses and wonder when people get their shit done, and the truth seems to be that they often have very little shit to do. So we laugh about that. Call it intellectual snottiness, if you will.
Reed is a very strange place, as shown by the student body and by campus events.  Ask any Reed kid (who isn't a freshmen) about Renn Fayre, Drag Ball, Paideia, Thesis Parade, thesis-ing, junior seminar, or qualifying exams and you'll here many a tale."
"26","Reed is a tiny, liberal arts college. The campus is pretty, but small enough that once you've slept with someone, there's no way to avoid them. You'll keep running into them in commons, or the pool hall, or that class you thought they wouldn't take but they did and now you have to sit in the same room with them three times a week and pretend it isn't awkward. The population of Reed is big enough, however, that I'm still meeting new people in my year. The academics are phenomenal, and Portland's a fun city (although it helps to be 21). It's easy to get involved with student government, or just get some funding for a new extracurricular group. We don't have a football team, but the rugby players are all very dedicated to their sport. Ultimately, Reed is work hard, play hard -- we might stay in the library until 2 AM on a regular basis, but we also have more fun. There's nothing I would change about Reed, and having been here for four years, I can say with absolute certainty that I would make the same choice if I were picking a college now. That said, Reed is NOT for everybody."
"27","Most Reed students ar really excited to be here, which enhances life for our whole community. It's great that people are really excited about and interested in not only their classes and assignments, but also about social activities at Reed. There are so many opportunities to get involved in the Reed community, like during Renn Fayre, Reed Arts Week, Paideia, etc. There's always some sort of dance party or event going on in the Student Union to liven up weekend nights on campus, and it seems that wherever you go there are groups of intelligent kids to hang out with, like at the pool hall, the scrounge, the paradox, the library lobby, the tutoring center, the department-specific lounges, even the reactor!"
"28","Reed is isolated. It's in a bubble, and never shall that bubble burst. It's unfortunate, since Portland is a truly amazing city with TONS to offer, and so few Reedies take advantage of that. Reed is also quite small. It tends to be very difficult to make friends at Reed, although I'm not entirely certain why."
"29","People here tend to be interesting whether I like them or not, which is awesome. You can have a conversation with almost anyone and learn something. Most everyone works very hard, much harder than they did in high school, though a fair number of students (mostly freshmen) dick around a lot and have academic trouble accordingly. The work load is not exaggerated--if you do all the work you are supposed to do AND try to have a social life, you won't get a lot of sleep. Quite a few people drop out. 

The honor principle governs most interactions at Reed. There's a lot of trust in students' ability to handle problems, and so there's a lot of responsibility. 

When I tell people I go to Reed, I get a lot of different responses. Mostly tonal variations of the word ""OH."" Everyone knows we work hard here, but there are a lot of other connections that people make--drugs, radical left-wingers, awesome open-minded people, and so on. Reed has a reputation. It's not entirely accurate. There is a lot of drug use, and as a rule people are pretty liberal, but I know plenty of straightedge people and several libertarians (though, granted, very few Republicans)."
"30","Reed will give you student funds to spend on beer.  However, I when I wanted to spend student body funds on giving books to prisoners, I was told by Finance Committee, ""We don't give money for service projects.""

Reed will not let allow student organized charity drives to spend our extra board points to give food to the homeless.  They are so afraid of liability that they couldn't care less if the people of Portland go homeless."
"31","Reed is kind of small so everyone knows everyone and you can tell immediately who's a Reedie and who isn't when you see them. Also, it seems like you run into Reedies and Alumni all over the place in Portland and sometimes other random places. A lot of people have never heard of Reed, but those who have always have strong feelings about it. I spend most of my time in my dorm because sleep takes long times. Most recent big controversy was the hanging up of dummies in the trees in Eliot Circle."
"32","A recent spate of resignations from top administrators has called into question the current president's reputation. I know from a number of professors that they do not like the direction the current administration is heading, but from their perspective I can't say what is really at stake in the long-run. I can say this: I've never met president Diver, although he did grow up in the same town as me; albeit in a different time. The only things I've heard from him have been about his ""politically neutral"" charades in which he has declined to divest school money from Coca-cola even though the majority, if not everyone, on campus has advocated for divestment. I think this supposed ""neutrality"" is a thinly veiled attempt to hold onto a corporate endowment package put together by Reed's financial ""experts."" Recently, race has played a big role in the college's public life. A poorly planned Halloween tableau involved hanging paper bodies from nooses in the trees at the center of front circle. It made its way onto the pages of the Oregonian, which inflamed the belief that Reed students are naive intellectuals (true) that don't care about what they do to others (false, as it turns out). There were apologies and discussions. The multicultural resource center hired a speaker to give a lecture on the significance of lynching symbols in America. I can't say I attended, so I don't know if anyone else did, but it was a relatively poor attempt to smooth over the past and return to our bubble-like intellectual naiveté. The question is: how do you fan a discussion over difficult topics when the entire ""Reed experience"" is essentially deconstructive, centered on the self as the fundamental unit of inquiry? Reed does its masochistic job pretty well. You'll come out with a fine ability to get things done and think about them. But I worry that people all too infrequently ask themselves: what can I do for you? It's cultural problem, but Reed's not helping."
"33","The best thing about Reed is that it takes itself and its philosophy seriously.  Reed tries to be a school that takes the community and academics seriously, and will do just about anything to make sure that they run well.  The administration is very involved and helpful, and the level of bureaucratic inefficiency is generally pretty low.  Portland is a great town - almost an epicurean paradise.  Within a few miles, there are fantastic restaurants that are very reasonably priced (compared to Boston) and the bar scene is great.  Portland is also known as Beervana.  So many great local brews.  Unfortunately, school pride is pretty lacking, although there's generally a pretty good turnout for the big school events.  People definitely come to Reed to learn, and there's alot of people that do only that."
"34","People outside the bubble and outside Oregon don't generally know where Reed is, much less what it is. However, grad schools seem to notice us. The student body ranges from total slackers to high-strung bookworms; however, the majority could be described as academically motivated students with a high tolerance for books, as well as a high affinity for parties. Commons (the cafeteria), the Paradox coffee shops, and common rooms in dorms are the most popular spots to chill. While Reed doesn't have any traditional signs of school pride like a football team and fraternities, most students feel lucky to be here."
"35","Reed is an excellent school for several reasons.  For one, classes are generally small and allow for student participation and the guarantee that your professors will get to know you individually.  Although the student body is very intelligent, there doesn't seem to be a whole lot of unhealthy, annoying competition between students over grades, because Reed doesn't give grades! This system is ideal because grades are actually recorded, but instead of relying on numbers or a letter system to gauge success, professors write more comments of each paper and test.  This allows for one-on-one interaction between students and professors and for individual growth in the classroom.  Reed also has so many awesome and strange traditions, such as the end of year Renn Fayre (which has nothing to do with usual Renn Fairs), Paideia, and several annual themed dances."
"36","academics.  All the students are here to learn, plain and simple.  Though you may have ""that kid"" in one of your conferences the majority of REedies are intellectual, will challenge your views, and not afraid to express their opinions.   The investment you make in learning here is the best investment you can ever make in your life.  If you don't plan on going to grad school, a Reed degree in and of itself is not to important.  Generally, Reedies come to this school to cultivate their minds, learn about the academic orthodoxy and how to counter it, and to head to grad school."
"37","The best thing about Reed College is that there's no place like it. At no other college can you expect to find  such a diverse and interesting group of people united at the prospect of becoming experts in their field, more enlightened members of society, and more capable human beings. You may get the impression that everyone you meet is on an epic quest. And you will frequently be impressed by the progress that your colleagues make. Everyone is transformed after four years. Everyone finds the instruction, facilities, and intellectual sounding boards required for progress. The espirit de corps is a manifestation of the rigor of the college. And everyone is glad for the challenge, indeed they pay for it. There's no other place like that."
"38","I wouldn't change a thing about Reed. I enjoy telling people I went there, and having them react with shock and awe.  When I was a student, I spent most of my time in class or in the library.

I think Reed does a very good job of essentializing what is necessary for an education (i.e. a small number of students per class, close work with professors) and excludes all the distractions (i.e. textbooks, sports teams, the Greek system)."
"39","The biggest controversy on campus at the moment is the attempted change in the cigarette policy. There is a pretty much unsaid rule that you can smoke in the pool hall though it is a room in the GCC and technically illegal. Recently the administration tried to pull a fast one on the students and were charging kids 100$ for smoking indoors. Student Senate and the whole student body got really up in arms about the change in policy without consulting the students or even making an announcement. Then, the administration had to back down and revert back to the old policy. We're seeing our student autonomy slip like sand between out fingers and we're all crying as it slowly dies. Oh, and Portland is tight."
"40","Reed is small. Only 1500 students. That makes for a very small average class size, which translates to some great student participation. For me, that is the best thing about Reed: your peers are thinkers, like yourself, and they share their ideas and insights. When you can regularly pick up a shared epiphany from a colleague, or a perspective that gives you chills for its subtlety, and helps you with your own exploration of the material, it is easy to get addicted to the Reed methodology. 

If I would change anything, it would be having the library stay open 24 hours a day. It's open until 2 am most days, but I think it's time for Reed to find a way to keep it open all the time. 

Reed is growing, and at a rate that I think is modest, and well-considered. The school prides itself on being small so growth is approached with great concern and restraint.

People don't know anything about Reed except people in Portland. Because it is so small, it isn't well-known outside of the area. In Academia, it is well-known, and very favorably. That's what counts to me. 

Portland is the BEST town to be in! It's quirky, cool, and sophisticated. It's got the best bookstore on the planet a short 20 minutes away - what else do you need? And there are lots of great restaurants, cultural centers, and music venues nearby. 

The administration is cool, and the staff is astounding. This college really seems to take the time to make sure students get the important things taken care of. It is unusual in that respect. 

We have controversy on campus, yes. One case recently showed how adept the school can be in dealing with problems. Students were involved from the get go, and the solution was homegrown and sensitive. The issue continues to be discussed, and I think it was a learning opportunity for everyone. I am proud that the community came together the way it did.

Super unusual? Reed's 'Renn Fayre,' and all out party after finals week. It cannot be compared with anything else. You just have to experience it for yourself."
"41","The best thing about Reed is the intellectual environment. You are never without a problem to solve or an argument to put together.
I would change the tour guide mentality. They come across as morons.
Reed is perfectly sized.
95{4a082faed443b016e84c6ea63012b481c58f64867aa2dc62fff66e22ad7dff6c} of people have no idea what Reed is, and assume that it is a second-rate place for rich smart kids. The other 5{4a082faed443b016e84c6ea63012b481c58f64867aa2dc62fff66e22ad7dff6c} know that it is a first rate place for smart kids (many of whom are pretty well off)
I spend most of my time in my room.
Portland is a great city, but you won't get off campus much.
The Reed administration is highly competent and pretty hard-nosed.
Biggest recent controversy was grafiti that got put on an art exhibition.
No school pride, except we all miss Reed when we arent here.
Reed is so academically charged that it is extremely unusual for a college.
Renn Fayre is quite memorable, though over-hyped.
Our cafeteria dramatically overcharges for EVERYTHING."
"42","Reed. It's a great collection of creative ""quirky"" amazing people who have a large drive to learn, and spend almost too much time studying. There is a ridiculous work load, but you'll learn to read faster and how to read affectively. I spend most of my time on campus split between the library, the scrounge and the sportscenter- mostly in the library. Sometimes it's hard to strike a balance between life and academics, as the academics at Reed can at times be overwhelming. It's a really good idea to take some time away from Reed when you're here, to gain a perspective and make sure you have the drive to come back and finish at Reed. 
Portland is an amazing and fun city, but when you're at Reed you don't always have time to appreciate everything it has to offer. Students often get trapped ""in the bubble"", especially those students who live on campus. Owning a bike is a necessity in Portland."
"43","Personally Reed was a great match for me and despite the crushing workload and all, I still really love it. I don't think it is a school for everyone. I think a lot of people would hate coming here. It's hard. You will not have as much time as other college students you know to leave campus, even though Portland is great if you make it there. If you are a science major, you'll probably have days when you don't see the light of day, after 4 hour bio lab, you will get out and you will look at the dreary Portland sky and miss the sun. The sun does come out, and when it does it's great because everyone appreciates it and goes outside. But sometimes it rains all week. Sometimes you won't even notice because you'll spend all week in the library. 

On weekends though, and on days when you don't have to study like crazy, the campus is a great place to be and if you get tired of dancing here, or seeing movies here, Portland is everything you could ask for in a city, except that some things close kind of early. But there is a lot of stuff to do on campus. Everything really comes alive and there's a really exciting, fun culture in between the intense academics."
