"","V2"
"115","The school spirit here is ridiculous."
"116","Being a buckeye is such a priviledge! Everyone is estatic about this place and we all truly love being here. At Ohio State there are unlimited opportunites for education, whatever you want we have it. The clubs and student organizations have something for everyone and are always welcoming to new members. I have looked at so many schools and even chose to go to Southeastern University in Florida last year because I thought it was the right fit for me. I was very wrong though because Ohio State has everything I could ever ask for and more in a school!"
"117","OSU is extremely diverse with students coming from all over the world. There are many people to meet who are different then me and it's interesting. This school is also really large, one of the largest in the nation. Being so spread out and with so many people who go here can make it seem a little intimidating. The sense of community at OSU is so different from other schools and makes me feel comfortable. Even being out of state, I have been able to connect with OSU andmake many friends from all different backgrounds and feel at home."
"118","The large scale of The Ohio State University is fairly unique--it is one of the largest universities in the country. Consequently, it does not excel in only one aspect, as many other universities do. No matter one's major, he or she can be assured a top-notch education that will prepare them for a future career."
"119","The thing I love about Ohio State that I wouldn't have had at any of my other college choices is the sheer number of study abroad, and internship opportunities along with so many events to attend.  I was surprised with the amount of emails I have received informing me about these opportunities.  It is as though Ohio State places them in your lap.  This is largely due to the university's large size and is something I wouldn't have gotten had I attended another university."
"120","School spirit is at a premium at Ohio State. On gamedays it is like nothing I have ever seen, the unity the students display is out of this world. When singing ""Carmen Ohio"" every student feels a strong attachment to one another and the values they represent by attending this university. Integrity, knowledge, and love is what we represent and we live and breathe it everyday. Stepping into The Horseshoe on a football Saturday will captivate any student or alumni from Ohio State as they see everything they've lived for inside one stadium."
"121","Awesome spirit and community.  Good classes and teachers.  If you are determined and value your education, people here can help you get there."
"122","I don't really know how to answer this question.  OSU is a really good school, has a very good science program and medical facility.  Ultimately, I ended up going to OSU because the VA is paying for my education and kind of forced me to go to OSU."
"123","We are undoubtedly one of the biggest college campuses across America yet this has not hindered our ability to form close knit communities in all aspects of our college life.  By uniting under OSU traditions, school spirit and general love for our school, we have been able to make a big school seem so much smaller.  This way we are able to feel like we belong and are appreciated yet we are also provided with every resource imaginable that OSU's broad ranging campus is able to provide."
"124","Ohio State is the largest college I applied to, and I think its size is part of the reason I chose it. I like having many options and opportunities, and although it can be overwhelming, I really enjoy how much Ohio State has to offer. It was easy for me to make Ohio State seem smaller once I adapted to life there, but there's no way I could have made other colleges I applied to seem bigger."
"125","The only remotely ""unique"" thing about Ohio State, to me, is that it is in-state, and I was able to get a discount in tuition. I got into schools all over the country, and I was not thrilled when I was told I had to stay in Ohio. I never had any desire to go here as I viewed it as failing to launch. But now that I am here, I really enjoy it. I suppose that this school being closer to home has its many benefits. Since becoming an OSU student, I've realized the prestige here."
"126","There is a Manuscript study area."
"127","There are so many choices in everything you do! There's no shortage of clubs to join, classes to take, people to meet, or places to go. You get exposed to a lot of things, some you didn't even know you would enjoy! It opens your eyes to a lot of different experiences."
"128","Ohio State's huge size is its advantage; students can do anything and everything they could possibly want to in college, and they learn to do it independently and as an adult insetead of being coddled by advisers and teachers like students sometimes are in small schools."
"129","There is a sense of community that is hard to find anywhere else. People everywhere know about Ohio State, but actually being a part of it and belonging there gives you a feeling that you have never felt before.  Even though it seems like such a big school at first, after just a few weeks it begins to feel small, and that is when you can really appreciate what a tight-knit school this really is."
"130","Even though the Ohio State University is one of the largest school's in the nation, there is a real sense of community and Buckeye Pride among the students and faculty.  There is nothing better than fall quarter weekends and football games, GO BUCKS.  The professors are (for the most part) accomodating, if individuals have any type of dissablilty, or pop up illness. and there is a myriad of majors, minors and classes to choose from."
"131","OSU is unique because even though it is a diverse school we help eachother and get along great. In the Agiculture department the teachers are willing to help you and make sure you do great."
"132","OSU has this unqiue school spirit that drew me to it; after I went to a football game I could see the pride that it brought all the students together. Also OSU was one of the few schools in Ohio that had a lot of diversity, and being an Asian American in a middle white class I was not exposed to much diveristy."
"133","The interplay between the professional schools and the undergraduate programs is what sold me on OSU. I plan to go to vet school, and the fact that teachers are actively involved with both the vet students and undergrad students is immensely helpful."
"134","Ohio State has a lot of pride compared to other schools and are very ferverous about their sports. I'm not really into the sports here, although I do love sports. Also, this school is always going out of its way to constantly improve. It's almost like you feel OK with them raising tuition every year because every year it gets better."
"135","One unique aspect of The Ohio State University is its size. Many see this as a bad thing, but because this university is so large, there are so many opportunities. Besides over 1000 clubs and organizations to join, the academic opportunites are incredible. The medical center is right on campus, and research oppurtunites as well as travel and work are everywhere. This campus is very diverse, which has made it easier to discover who I am and who I want to be. The Ohio State University is giving me a great  foundation for my future."
"136","Ohio State has every thing you could ask for in a school. Nice people, great classes, and helpful teachers. Another great thing is that Ohio State has pretty much any major you can think of so you never feel left out."
"137","Ohio State is unique for many reasons.  One of the largest reasons is the school spirit held by the students, alumni and surrounding community.  On the day of a sports event , most notably football games, the atmousphere on campus is unlike any other.  People are buzzing with energy and school pride that i believe is not matched by any other college or university."
"138","I have attended three other colleges in the past and know that The Ohio State University is different than most. At The Ohio State University, one is with over 52,000 people. This leads to so many different oppertunites. There are nearly 1,000 different groups and clubs to get involved with. Not many other schools have that many clubs! With OSU being such a large school there are many oppertunities for people who are outstanding in their feilds to get to come and speak. The Ohio State University allow for  more opperunites than came be fully described."
"139","The amount of opportunities to get involved whether its clubs, internships, work-study, research, intramurals, or other student organizations."
"140","Ohio State University is unique from other schools I considered for many different ways. It is the second largest school with the number one football and basketball team. The fan base is incredible. Its underrated for its academics. I never thought of OSU for academics but mostly for sports, but the classes I am taking are the hardest I have ever taken. It is an accepting atmosphere and anyone could fit in anywhere here. I absolutely love it and would recommend it to anyone."
"141","The atmosphere is the most unique out of anything. It's so large yet inviting. You feel as though you're not just a number in a sea of 60,000+ students, which is invaluable. The academics are amazing while still having many on campus activities and opportunities to get involved. I grew up in a family of Buckeyes and couldn't imagine going anywhere else."
"142","Ohio State has great resources for all students such as tutoring, a career center, and many activites were you can meet new people. The atmosphere is amazing. There are manys students who love OSU sports. There is a strong sense of communinty and belonging."
"143","To suceed at Ohio State is simple- use your resources. The campus is huge, and to some that can draw them away, but the beauty of Ohio State is its size. This college has thousands of resources for students of all majors and of all levels of learning.  Ohio State helps you with the baby steps to become overall successful. Also, buckeye pride is like nothing else. When you are a buckeye, you join a family. The best way to feel  apart of this famliy is joing clubs and taking advantage of all the opportunites provided."
"144","Ohio State is unique because even though it is a huge school, it is as small as you make it. You can choose to get involved with a group, such as a club or a sorority/fraternity, and create a tight knit group to stick with. You can also join multiple groups and have many different groups of friends. I've heard people say that Ohio State is too big for them, but really, it is as big as you make it. I think that's one reason why Ohio State is so awesome!"
"145","We have a strong sense of community here and we are accepting of those who are different politically, religiously and racially. Our school offers opprotunities for people to express their diversity freely and allows others the chance to learn about other people. The school is located in a good spot with lots of buisness, restaurants, busses catering to us. Its size is big but by living in the dorm and joining various groups you make friends easily and it makes it seema  lot smaller."
"146","Unlike other colleges, Ohio State is like a bustling town in which there are so many opportunities. Almost every week I receive an e-mail about outreach, research, or other outlets to become involved. Another unique aspect about Ohio State is that so many graduate schools are located on campus, so it is easy to become involved within a particular career field."
"147","It is huge.  This is great because you have opportunities to pursue thousands of various fields and meet an incredible variety of people.  It can be a pain though with large classes and long walks to class."
"148","My school is ranked as number twenty-five by ""U.S.News"" on their list of top one hundred engineering schools in the United States. It is also the second biggest school in the entire United States.  With many people attending this University, there is a great opportunity to exprience the variety of attributes that each person has to offer. This fact also provides opportunities to learn how to manage and maintain many different relationships."
"149","It is very urban, but the campus itself feels like a very traditional college campus. Downtown is 2 miles south, with an amazing arts district bordering the south end of campus. You can come to OSU and be an OSU student--engaged in clubs and such, but you can also come and make your own life with all the things to do in the city of Columbus, outside of OSU."
"150","Ohio State's campus is the most unique aspect of the school. You can go to any school where they have supreme academic standing, but you will never come across a campus so large in size and diverse in cultures. Ohio State is a world of its own. With the overly populated school, Ohio State University provides an environment where students can learn and grow, and come across real life situations they never experienced back in their sheltered home life. Ohio State's diverse population teaches us that we're all different individuals."
"151","Unlike most of my fellow students at the Ohio State University, I am not much of a fan of their sports programs which automatically changes the experience I have here compared to most. Also to add onto that, another major difference between the majority of my colleagues and myself is that my mother and father aren't handing me a free education. That being said this campus is absolutely fantastic. I had quite a culture shock at first, being from a rural town on the river I hadn't had much exposure to city dwellers or many different ethnicities. I can see that most people would get stage fright just walking around the Oval because there are so many people and this could really change someone's opinion of this school. If you aren't willing to be social with your fellow 20-something students and at least attempt to enjoy yourself, you're going to hate it. The surrounding area always seems to have something to do or events going on that will keep you from being bored. College is about expanding your cultural boundaries, meeting new people and especially about getting an education. I have been through a number of career paths here having started out with Astronomy and Astrophysics (which is still a passion of mine), then pursing Security and Intelligence (which I quickly got bored of), and now I'm borderline about a number of choices. Honestly, I don't really regret any of these changes or feel like they have been a waste of my time because after this is the rest of my life and quite frankly I don't feel like doing something every day that I hate."
"152","DOES THE JOB. "
"153","IT IS A DIPLOMA MILL"
"154","I love it! There is always something going on and despite the fact that it is a huge school, it doesn't feel like it."
"155","I love The Ohio State University. This school is unique in the fact that it is a mecca of opportunities: learning, business, athletics, social, exploring, professional. "
"156","I have enjoyed my time at OSU so far, though it is difficult for me to compare it to other colleges, as I have not attended anywhere else. The best aspect of Ohio State is the fact that there are countless clubs, groups and opportunities, and that no matter who you are, there are people like you here. My biggest complaint about the university is that it is easy to get lost in the sea of students, especially when you are in a required freshman survey class with 600 other people, and the professor is passing around an attendance sheet."
"157","OSU is HUGE! But much like Columbus, it feels like a huge small town. The traditions, if you choose to join in, bring everyone together. The size many people see as a negative but I think it makes us a top university. College is all about getting a job and getting ready for the real world. Nothing will be handed you in the real world and nothing is handed to you here. But if you look for opportunities they are there and the faculty and students are there to support you. Columbus also offers a lot of great opportunities. Like OSU it's a city on the rise and the connection between the city and the university is strong. My only complaint is that occasionally because of its size there can be a little bit of bureaucracy when you are dealing with problems. But thats how the real world is too so you better learn how to manage. I'm struggling to not be too inflamed in my statements but I couldn't love my college anymore. If you love community, tradition, are a go-getter, and want to have fun, Ohio State is the place to be."
"158","Ohio State University Moritz College of Law is great.  I have many positive things to say and look forward to speaking to potential applicants about it."
"159","OSU was awesome! Lots of school spirit and many great times with fun folks in enriching classes."
"160","I have come to love Ohio State. It took me a while to find my place in this school, but I am very happy with the experience overall. The best thing about OSU is that there are so many different things to get involved with. I am so glad I joined a sorority because it helped me make my closet friends and roommates here and made the size of the university feel manageable. I have also been at my job for 2 years, and that has helped make the school, and the city, feel like home. One of my favorite things about being a buckeye is the national community. I love seeing people in OSU shirts all over the country and giving them an ""O-H!"" I feel a lot of pride when I tell people where I go to school, and I find myself fiercely defending Columbus to those who have never been here and see it as unsophisticated. OSU has prepared me to go out into the ""real world"" and work towards getting a dream job, and I think the size is advantageous for that - you have to work harder to set yourself apart here, because there is always someone smarter, or more involved. I don't regret my decision to come here, but I have occasionally wished I pushed myself to appy to more liberal arts schools. You'll be hard-pressed to find widespread campus activism (though hundreds of us did jump in a lake when Obama won the election) or fierce political debate here, if that's what you're looking for. "
"161","Best thing: its reputation and size
One thing I'd change: make concealed carry on campus allowed
Size: too too big which is great
People's reaction: admiration and respect, appreciation of traditions
Most time spent in .... The Ohio Union which is the living room of our campus
School's administration: too much red tape and bureaucracy
Recent controversy: Jim Tressel being forced to quit!
School Pride: too much of it, you hear it illustrated best when students say THE Ohio State University
Anything unusual: its size and everything that comes with it from having uncountable student organizations to large scale bureaucracy 
Experience to remember: The Laissez-Faire Syndicate, best student organization ever, helped build my personality and introduced me to the perfect man for me who's my boyfriend now.
Frequent complaints: usually about the financial services office and its long lines."
"162","There is no other place I would want to be than The Ohio State University. This school has limitless opportunities in all aspects of life. Every class I take is interesting and the majority of the teachers I've had are always willing to help in any way they can. From the Ohio State pride on game days, to endless nights at the library, to club meetings and summer days on the oval, I have always had positive experiences. This school really knows how to come together. After game losses or controversy, students at Ohio State never stop showing their pride for their school. The teachers and administration want to see their student excel and succeed. Ohio State is somewhere that I know I have endless opportunities. It is a large university but through organizations and classes, there are so many ways to make it smaller and make it feel like a community. I see the same people throughout the years in my classes and have established friendships with them. You make it your own experience at Ohio State. It is an amazing school and I am so blessed to be able to be apart of it!"
"163","I love this school! I came from a really small hometown, but Ohio State does not feel too big to me. On a big campus, there is always something to do. There are tons of activities going on, lots of clubs to join, tons of travel opportunities...the list goes on and on! Being located in Ohio's capital city means that there is plenty to do off campus as well. Aside from the fun stuff, the academics are good too. OSU is respected academically and there are many brilliant professors who teach here. There is a ton of school pride, and it seems like no matter where you travel to, you will find a Buckeye's fan. Once a Buckeye, always a Buckeye!"
